ID,Bust
karl-anthony-towns,0.274966667
justise-winslow,0.2288
stanley-johnson,0.22996666699999999
jahlil-okafor,0.29585
d-angelo-russell,0.4091
dakari-johnson,0.193543655
3-devin-booker,0.212
willie-cauley-stein,0.303709963
rondae-hollis-jefferson,0.22439640600000002
trey-lyles,0.223233333
sam-dekker,0.277250464
kelly-oubre-jr,0.263216667
tyus-jones,0.273833333
kevon-looney,0.261216667
2-myles-turner,0.316269048
cliff-alexander,0.290966667
christian-wood,0.286804424
frank-kaminsky,0.31328262100000004
michael-frazier-ii,0.35362048799999996
brandon-ashley,0.379409713
bobby-portis,0.357298214
andrew-harrison,0.384808511
rashad-vaughn,0.3692
3-aaron-harrison,0.407728291
montrezl-harrell,0.384190715
quinn-cook,0.413242824
2-cameron-payne,0.483498073
chris-mccullough,0.5081
justin-anderson,0.42971994700000005
terry-rozier,0.504615174
vince-hunter,0.46492143700000005
delon-wright,0.467846395
jarell-martin,0.482030069
jordan-mickey,0.47955815799999996
wayne-blackshear,0.449628838
5-chris-walker,0.487833333
tj-mcconnell,0.459249003
jp-tokoto,0.460107482
pat-connaughton,0.47782201
rj-hunter,0.489042385
jerian-grant,0.522495076
olivier-hanlan,0.458771582
branden-dawson,0.51535393
robert-upshaw,0.529946
tyler-harvey,0.46873872899999997
darrun-hilliard,0.509176281
tyler-haws,0.48361447399999996
treveon-graham,0.543619737
rakeem-christmas,0.52573667
3-kenneth-smith,0.567634981
3-michael-qualls,0.5475728879999999
5-aaron-white,0.549978835
3-alan-williams,0.52173384
shannon-scott,0.573424549
isaac-fotu,0.558800066
keifer-sykes,0.560152991
juawn-staten,0.546573966
corey-hawkins,0.530615842
devonte-newbill,0.5364676310000001
2-josh-richardson,0.566846902
2-jonathan-holmes,0.5813544429999999
joseph-young,0.55672691
wesley-saunders,0.575985589
richaun-holmes,0.624852285
3-anthony-brown,0.581698291
norman-powell,0.5769149889999999
9-josh-smith,0.591186509
derrick-marks,0.587617469
2-marcus-thornton,0.588127788
terran-petteway,0.597375623
seth-tuttle,0.604340925
trevor-lacey,0.608937176
dezmine-wells,0.59273752
larry-nance-jr,0.629590736
sir-dominic-pointer,0.650028307
briante-weber,0.671808458
cady-lalanne,0.645851745
joel-embiid,0.2193
marcus-smart,0.33051459
noah-vonieh,0.259833333
aaron-gordon,0.241666667
andrew-wiggins,0.34953333299999995
julius-randle,0.296733333
jabari-parker,0.35383333299999997
2-jordan-adams,0.265082604
gary-harris,0.286292631
jarnell-stokes,0.27620521
