Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Karl-Anthony Towns,C,karl-anthony-towns,2015,1.030605703,0.13476666699999998,0.42718333299999994,0.163083333
Justise Winslow,SF,justise-winslow,2015,0.875328997,0.083528571,0.510904762,0.176766667
Stanley Johnson,SF,stanley-johnson,2015,0.679493305,0.0678,0.423733333,0.2785
Jahlil Okafor,C,jahlil-okafor,2015,0.521661276,0.058716667,0.4099,0.235533333
D`Angelo Russell,PG,d-angelo-russell,2015,0.511966664,0.15203333300000002,0.34228333299999997,0.09658333300000001
Dakari Johnson,C,dakari-johnson,2015,0.491787354,0.021340777999999998,0.36754357,0.41757199700000003
Devin Booker,SG,3-devin-booker,2015,0.472577305,0.073366667,0.324466667,0.390166667
Willie Cauley-Stein,C,willie-cauley-stein,2015,0.35117138299999995,0.047114455,0.40598986299999995,0.243185719
Rondae Hollis-Jefferson,SF,rondae-hollis-jefferson,2015,0.311909198,0.014589784,0.36853314299999995,0.392480667
Trey Lyles,PF,trey-lyles,2015,0.26750941100000003,0.022385713999999998,0.35132857100000003,0.403052381
Sam Dekker,SF,sam-dekker,2015,0.254164944,0.008691989,0.38500394600000004,0.32905360100000003
Kelly Oubre Jr.,SF,kelly-oubre-jr,2015,0.24731024699999998,0.019833333,0.378983333,0.33796666700000005
Tyus Jones,PG,tyus-jones,2015,0.24354879699999998,0.0272,0.414561905,0.284404762
Kevon Looney,PF,kevon-looney,2015,0.204173217,0.0083,0.355566667,0.37491666700000004
Myles Turner,PF,2-myles-turner,2015,0.076381303,0.029416667,0.335797619,0.318516667
Cliff Alexander,PF,cliff-alexander,2015,0.026133537000000002,0.007633333000000001,0.294783333,0.40661666700000004
Christian Wood,PF,christian-wood,2015,-0.019560841000000002,0.008396848,0.31111083,0.393687898
Frank Kaminsky,C,frank-kaminsky,2015,-0.072352472,0.006718361,0.352834529,0.327164489
Michael Frazier II,SG,michael-frazier-ii,2015,-0.16705094,0.010083843,0.254306634,0.381989035
Brandon Ashley,PF,brandon-ashley,2015,-0.170210127,0.011186811999999999,0.253264673,0.35613880200000003
Bobby Portis,PF,bobby-portis,2015,-0.314574233,0.003141375,0.253027047,0.386533364
Andrew Harrison,PG,andrew-harrison,2015,-0.337040592,0.01122782,0.209972569,0.3939911
Rashad Vaughn,SG,rashad-vaughn,2015,-0.342326069,0.020666667,0.242333333,0.3678
Aaron Harrison,SG,3-aaron-harrison,2015,-0.420844124,0.009668813,0.191222705,0.391380191
Montrezl Harrell,PF,montrezl-harrell,2015,-0.436183176,0.003904083,0.20032108399999998,0.41158411899999997
Quinn Cook,PG,quinn-cook,2015,-0.45351841299999995,0.000128454,0.22139455600000002,0.365234166
Cameron Payne,PG,2-cameron-payne,2015,-0.604344604,0.009530364,0.19008399,0.316887572
Chris McCullough,PF,chris-mccullough,2015,-0.630996181,0.006566666999999999,0.19213333300000002,0.2932
Justin Anderson,SF,justin-anderson,2015,-0.635744631,0.000926066,0.157187056,0.412166931
Terry Rozier,PG,terry-rozier,2015,-0.637633814,0.007467100999999999,0.188247503,0.299670223
Vince Hunter,SF,vince-hunter,2015,-0.644930502,0.0039991309999999995,0.145082443,0.385996989
Delon Wright,PG,delon-wright,2015,-0.666006064,0.0026507040000000003,0.169565987,0.35993691299999997
Jarell Martin,PF,jarell-martin,2015,-0.7217396640000001,0.0014716360000000001,0.15872561699999999,0.35777267799999996
Jordan Mickey,PF,jordan-mickey,2015,-0.745960108,0.0014437870000000002,0.144665538,0.37433251799999995
Wayne Blackshear,SG,wayne-blackshear,2015,-0.750833557,0.001026966,0.11546061099999999,0.433883586
Chris Walker,PF,5-chris-walker,2015,-0.75113066,0.001166667,0.157566667,0.35343333299999996
T.J. McConnell,PG,tj-mcconnell,2015,-0.760484149,0.002670752,0.102511805,0.43556844
J.P. Tokoto,SF,jp-tokoto,2015,-0.785873736,0.0006736289999999999,0.107998383,0.431220506
Pat Connaughton,SF,pat-connaughton,2015,-0.8337818709999999,0.000664804,0.08891347,0.432599715
R.J. Hunter,SG,rj-hunter,2015,-0.836776877,0.004112703,0.12123949099999999,0.385605421
Jerian Grant,PG,jerian-grant,2015,-0.869777062,0.001169979,0.130352495,0.345982451
Olivier Hanlan,SG,olivier-hanlan,2015,-0.939601082,0.00022736900000000002,0.058708643,0.482292406
Branden Dawson,SF,branden-dawson,2015,-0.94832171,0.000308971,0.09316623800000001,0.39117086100000004
Robert Upshaw,C,robert-upshaw,2015,-0.953017497,0.00021639400000000002,0.088032316,0.38180529
Tyler Harvey,SG,tyler-harvey,2015,-0.963286998,0.0,0.045680357000000005,0.485580914
Darrun Hilliard,SG,darrun-hilliard,2015,-0.997597057,0.001336934,0.058581954000000006,0.430904831
Tyler Haws,SG,tyler-haws,2015,-1.014375418,0.0010355639999999999,0.038756025,0.476593937
Treveon Graham,SG,treveon-graham,2015,-1.026896912,0.001371164,0.07552874400000001,0.37948035399999996
Rakeem Christmas,PF,rakeem-christmas,2015,-1.037407078,0.000103674,0.074800607,0.39935904899999997
