Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Austin Rivers,SG,austin-rivers,2012,-0.145823923,0.036233333,0.268866667,0.334097619
Royce White,SF,royce-white,2012,-0.193489861,0.0184,0.24375,0.357366667
Damian Lillard,PG,damian-lillard,2012,-0.20056231300000002,0.036313508,0.259299921,0.27352202
Tony Wroten,PG,tony-wroten,2012,-0.245215022,0.021566667,0.280566667,0.2869
Doron Lamb,SG,doron-lamb,2012,-0.281442474,0.004280402,0.208319497,0.43963680899999996
Moe Harkless,SF,maurice-harkless,2012,-0.310236312,0.012416667,0.26805,0.346683333
Perry Jones III,PF,perry-jones-iii,2012,-0.362200805,0.003381931,0.25658298,0.375624695
Quincy Miller,SF,quincy-miller,2012,-0.36786030700000005,0.0082,0.23226666699999998,0.3737
Terrence Ross,SG,terrence-ross,2012,-0.393773751,0.018984716999999998,0.21497628600000002,0.348887871
Jared Cunningham,SG,2-jared-cunningham,2012,-0.44139395200000003,0.012164518000000001,0.193810652,0.38509138
Meyers Leonard,C,meyers-leonard,2012,-0.49300456200000004,0.001882547,0.222535097,0.35314568700000004
John Jenkins,SG,2-john-jenkins,2012,-0.541753731,0.004348225,0.153131284,0.428610228
Kendall Marshall,PG,kendall-marshall,2012,-0.545690813,0.001415434,0.208683597,0.33463658
Draymond Green,SF,draymond-green,2012,-0.556659557,0.0024765489999999998,0.169968738,0.421028206
Hollis Thompson,SF,hollis-thompson,2012,-0.5670391579999999,0.003435273,0.17262017,0.380718606
Jae Crowder,SF,jae-crowder,2012,-0.595557739,0.001250205,0.18452771699999998,0.38779319100000004
Khris Middleton,SF,khris-middleton,2012,-0.693277282,0.005368606,0.149152826,0.362379085
Ashton Gibbs,PG,ashton-gibbs,2012,-0.7126223490000001,0.0010042010000000001,0.135719853,0.42172062899999996
Miles Plumlee,PF,miles-plumlee,2012,-0.7234322,0.000378714,0.154787755,0.39365738
Kevin Jones,PF,6-kevin-jones,2012,-0.7423057359999999,0.00019141099999999997,0.14061901599999999,0.408054249
William Buford,SG,william-buford,2012,-0.7479396970000001,0.000889484,0.137565563,0.420014027
Darius Miller,SF,darius-miller,2012,-0.7624414290000001,0.000140748,0.118434526,0.441771763
Gerardo Suero,SG,gerardo-suero,2012,-0.804573475,0.002333333,0.040344444,0.543869841
Arnett Moultrie,PF,arnett-moultrie,2012,-0.836069017,0.001951945,0.14241347,0.347440917
Zach Rosen,PG,zack-rosen,2012,-0.881118585,0.001333333,0.058144395999999994,0.48396563
Robbie Hummel,SF,robbie-hummel,2012,-0.8860291220000001,0.000576045,0.109472592,0.379726758
Tyler Zeller,C,tyler-zeller,2012,-0.886482478,0.000952833,0.139317726,0.36551056200000004
Jordan Taylor,PG,jordan-taylor,2012,-0.888591315,0.000452506,0.11393553599999999,0.389875223
Tyshawn Taylor,PG,tyshawn-taylor,2012,-0.9066439070000001,0.000579555,0.102159316,0.400538469
Marcus Denmon,SG,marcus-denmon,2012,-0.91208632,0.000738739,0.08560240599999999,0.417502474
Ricardo Ratliffe,PF,ricardo-ratliffe,2012,-0.913073927,0.000263163,0.083116646,0.425384954
John Shurna,SF,john-shurna,2012,-0.923881437,0.0,0.058873497000000004,0.46678446799999995
Kim English,SG,kim-english,2012,-0.9321289540000001,0.00111017,0.093542425,0.407447096
Terrell Stoglin,SG,terrell-stoglin,2012,-0.9330101959999999,0.002411604,0.096088414,0.362764359
Fabricio Melo,C,fab-melo,2012,-0.935186244,0.000119301,0.099063901,0.420306829
Will Barton,SG,will-barton,2012,-0.9357758840000001,0.0,0.094512734,0.402634841
Scott Machado,PG,scott-machado,2012,-0.959476413,0.001693333,0.071913479,0.403173551
Chris Johnson,SG,11-chris-johnson,2012,-1.0178643520000001,0.00045626,0.068691479,0.400349226
Charlie Westbrook,SG,charlie-westbrook,2012,-1.0369043759999998,0.0,0.044506616,0.446405299
Cameron Moore,PF,cameron-moore,2012,-1.063020392,0.0008463489999999999,0.066966207,0.35449654700000005
Kris Joseph,SF,kris-joseph,2012,-1.0694359340000001,0.0,0.05797981,0.39338849200000003
Andrew Nicholson,PF,andrew-nicholson,2012,-1.0826602490000001,0.000630555,0.066266506,0.397673392
Quincy Acy,SF,quincy-acy,2012,-1.083851248,0.00030907,0.071857226,0.357689055
Bernard James,C,bernard-james,2012,-1.0934439040000001,0.0,0.058821607000000005,0.372845857
Wesley Witherspoon,SF,wesley-witherspoon,2012,-1.135707842,6.65226e-05,0.046642143,0.377084359
Darius Johnson-Odom,SF,darius-johnson-odom,2012,-1.163017907,0.0,0.045374649,0.397456996
JaMychal Green,PF,jamychal-green,2012,-1.167714438,0.000587973,0.031468848,0.382527713
Festus Ezeli,C,festus-ezeli,2012,-1.169515729,0.0,0.057072932,0.36457321600000003
Drew Gordon,PF,drew-gordon,2012,-1.17069164,0.001808765,0.042573969,0.368258089
Kyle O`Quinn,C,kyle-o-quinn,2012,-1.179221157,0.00015144100000000002,0.05068457,0.352475975
Terrell Holloway,PG,terrell-holloway,2012,-1.185031515,0.000187834,0.034943445,0.376654993
Toure` Murry,SG,toure-murry,2012,-1.18602304,0.000195975,0.02489439,0.399324875
Orlando Johnson,SG,orlando-johnson,2012,-1.210253966,0.000384054,0.031609322,0.374019444
Rakim Sanders,SF,rakim-sanders,2012,-1.214695871,0.0,0.0297791,0.37520793700000005
Eric Griffin,PF,2-eric-griffin,2012,-1.219154149,0.0,0.047050343,0.33327298
J`Covan Brown,PG,j-covan-brown,2012,-1.221707833,0.000194207,0.044968952,0.356136378
Mike Scott,PF,32-mike-scott,2012,-1.224537277,0.000347862,0.03563054,0.354899663
Renardo Sidney,PF,renardo-sidney,2012,-1.224538481,0.00028429299999999997,0.02032765,0.37547036200000006
Tony Mitchell,SG,3-tony-mitchell,2012,-1.233579669,0.0,0.050808795999999996,0.312011807
Jeffery Taylor,SF,jeffery-taylor,2012,-1.235187319,0.0,0.047836660999999996,0.333895451
Alex Young,SG,alex-young,2012,-1.2538407109999998,0.0,0.018347298,0.382315566
Henry Sims,C,henry-sims,2012,-1.2642296020000001,0.0006314269999999999,0.026197157000000002,0.348069777
Kevin Murphy,SF,2-kevin-murphy,2012,-1.271355995,0.0,0.026670568999999998,0.366993082
Justin Hamilton,C,2-justin-hamilton,2012,-1.3012540559999999,0.00028239,0.028768314,0.327982371
Casper Ware,PG,casper-ware,2012,-1.3062282570000001,0.0,0.022315633999999997,0.34030915899999997
Mitchell Watt,PF,mitchell-watt,2012,-1.316101171,0.0,0.019549013,0.334886588
Herb Pope,PF,herb-pope,2012,-1.31928748,0.0,0.020074038,0.3270238
Yancy Gates,PF,yancy-gates,2012,-1.339430576,0.00021323,0.03164911,0.298019782
Xavier Gibson,PF,xavier-gibson,2012,-1.341851105,0.0,0.0274474,0.303542018
Josh Owens,PF,josh-owens,2012,-1.3522472330000002,0.0,0.019032029,0.321945281
Garrett Stutz,C,garrett-stutz,2012,-1.359133317,0.00012932700000000002,0.030894867000000003,0.289284972
Augustus Gilchrist,C,augustus-gilchrist,2012,-1.3799116130000002,0.0,0.01447288,0.30558735
Robert Sacre,C,robert-sacre,2012,-1.476022096,0.00040331300000000003,0.020722041,0.24858155899999998
Derrick Williams,PF,3-derrick-williams,2011,1.156263453,0.166002273,0.40636119200000004,0.159771362
Kyrie Irving,PG,kyrie-irving,2011,0.878822439,0.145133333,0.3847,0.133516667
Tristan Thompson,PF,2-tristan-thompson,2011,0.550651756,0.0799,0.404183333,0.204216667
Kawhi Leonard,SF,kawhi-leonard,2011,0.358445678,0.073842145,0.394673473,0.17795316
Brandon Knight,PG,brandon-knight,2011,0.109980109,0.066616667,0.35598333299999996,0.146183333
Alec Burks,SG,alec-burks,2011,-0.062542276,0.037322606,0.26609705699999997,0.34871020700000005
Kenneth Faried,PF,kenneth-faried,2011,-0.077723641,0.009734162,0.30010719199999997,0.337342317
Kemba Walker,PG,kemba-walker,2011,-0.08425919999999999,0.026504944,0.308561144,0.25395791
Jereme Richmond,SF,jereme-richmond,2011,-0.131016665,0.009466667,0.309133333,0.36163333299999995
Cory Joseph,PG,cory-joseph,2011,-0.172781947,0.0205,0.26015,0.3783
Tobias Harris,PF,tobias-harris,2011,-0.234177374,0.009266667,0.250383333,0.38741666700000005
Nikola Vucevic,C,nikola-vucevic,2011,-0.24277792899999998,0.002209827,0.265809316,0.38034645
Tyler Honeycutt,SF,tyler-honeycutt,2011,-0.370330712,0.004690562,0.229489888,0.351831823
Klay Thompson,SG,klay-thompson,2011,-0.410841192,0.011865495,0.18193394100000002,0.424087255
Josh Selby,PG,josh-selby,2011,-0.423177433,0.003966667,0.212066667,0.383266667
Jordan Hamilton,SF,2-jordan-hamilton,2011,-0.42816448700000004,0.0018628310000000001,0.202777928,0.412339699
Jordan Williams,C,jordan-williams,2011,-0.44607608,0.005932099000000001,0.19495390899999998,0.358490947
Iman Shumpert,PG,iman-shumpert,2011,-0.46618921399999996,0.01167475,0.24424944399999998,0.269154752
Willie Reed,PF,willie-reed,2011,-0.485956085,0.00596036,0.199921142,0.344409742
Jimmy Butler,SF,jimmy-butler,2011,-0.501786171,0.000923541,0.19247870600000003,0.42358090200000004
Kyle Singler,SF,kyle-singler,2011,-0.50449569,0.0,0.211761392,0.40733887399999996
Brad Wanamaker,PG,bradley-wanamaker,2011,-0.5076399739999999,0.0021571010000000002,0.218707067,0.363259217
Jimmer Fredette,PG,jimmer-fredette,2011,-0.516017396,0.01183467,0.20399570600000003,0.34322967200000004
Markieff Morris,PF,markieff-morris,2011,-0.522158069,0.004485966,0.166648312,0.470599272
Reggie Jackson,PG,4-reggie-jackson,2011,-0.5643750270000001,0.006523507,0.158053855,0.417360089
Marcus Morris,PF,marcus-morris,2011,-0.59167767,0.00085145,0.168420785,0.439121032
Greg Smith,C,5-greg-smith,2011,-0.626927834,0.0028211240000000004,0.183603982,0.326586007
Nolan Smith,SG,nolan-smith,2011,-0.663804856,0.001932567,0.16741440900000001,0.405567523
Jon Diebler,SG,jon-diebler,2011,-0.6723650320000001,0.0,0.13241977300000002,0.430724626
Chris Singleton,SF,chris-singleton,2011,-0.6921536629999999,0.004260992,0.157669833,0.35853563299999996
Chandler Parsons,SF,chandler-parsons,2011,-0.754461481,0.000245607,0.136776761,0.415688375
Marshon Brooks,SG,marshon-brooks,2011,-0.7560146670000001,0.00204825,0.13107448800000002,0.433667814
Jon Leuer,PF,jon-leuer,2011,-0.779539187,0.002749519,0.154882974,0.352244669
Josh Harrellson,C,josh-harrellson,2011,-0.799567334,0.000384474,0.11937498,0.41577817799999994
Travis Leslie,SG,travis-leslie,2011,-0.8132012359999999,0.00462668,0.112001726,0.401183835
Shelvin Mack,PG,shelvin-mack,2011,-0.819890433,0.006822798000000001,0.11918791599999999,0.36106703700000004
Mark Payne,PG,mark-payne,2011,-0.821469593,0.000782059,0.091827183,0.461068996
David Lighty,SG,david-lighty,2011,-0.829272825,0.0,0.125921145,0.39674956200000006
Malcolm Lee,PG,malcolm-lee,2011,-0.870000518,0.001365954,0.119370669,0.364100296
Justin Holiday,SF,justin-holiday,2011,-0.8744809729999999,0.00022626299999999998,0.084409054,
Darius Morris,PG,darius-morris,2011,-0.877368502,0.002036612,0.10731065199999999,
Julyan Stone,SG,julyan-stone,2011,-0.940871268,0.000390789,0.07869029,
DeAndre Liggins,SG,deandre-liggins,2011,-0.942360645,0.0,0.058761605,0.460651921
Ravern Johnson,SG,ravern-johnson,2011,-0.9460407040000001,0.0,0.02777057,0.519963063
Ben Hansbrough,PG,ben-hansbrough,2011,-0.96844216,0.000224117,0.060733435999999995,0.43858114200000003
Jacob Pullen,SG,jacob-pullen,2011,-0.969453549,0.00309771,0.074964438,0.41265796299999996
Norris Cole,PG,norris-cole,2011,-0.9969489440000001,0.000587117,0.09551048300000001,0.35376735299999995
LaceDarius Dunn,SG,lacedarius-dunn,2011,-1.006032986,0.00029946599999999997,0.048552570999999996,0.46327179
Jamine Peterson,SF,jamine-peterson,2011,-1.013542304,0.0,0.077076071,0.387230356
Durrell Summers,SG,durrell-summers,2011,-1.0336000440000002,0.0,0.060540807,0.428675934
Talor Battle,PG,talor-battle,2011,-1.037068394,0.000233537,0.023397486000000002,0.47629634299999996
Vernon Macklin,PF,vernon-macklin,2011,-1.046292963,0.0,0.041192103,0.447468808
Rick Jackson,PF,rick-jackson,2011,-1.054019258,0.000479761,0.074484455,0.370432972
Demetri McCamey,PG,demetri-mccamey,2011,-1.059601532,0.00082665,0.047547447,0.405813614
Malcolm Delaney,PG,malcolm-delaney,2011,-1.0640473879999999,0.000337483,0.046154006,0.41921701100000003
Gary Flowers,SF,gary-flowers,2011,-1.083933888,0.0,0.031360495,0.43354901100000004
Isaiah Thomas,PG,2-isaiah-thomas,2011,-1.089808133,0.002082395,0.05156641,0.38965124100000004
Kalin Lucas,PG,kalin-lucas,2011,-1.09914369,0.0006885460000000001,0.046111919,0.403240042
Andrew Goudelock,SG,andrew-goudelock,2011,-1.100958547,0.0,0.023789072999999997,0.458182931
Justin Harper,PF,justin-harper,2011,-1.1120033520000001,0.0,0.08853987,0.326838448
Ater Majok,PF,ater-majok,2011,-1.121020352,0.0,0.0345,0.416516667
Scotty Hopson,SG,scotty-hopson,2011,-1.127381994,0.000188928,0.050234972999999995,0.40269393700000006
Terrence Jennings,PF,2-terrence-jennings,2011,-1.150051428,0.0,0.055727717,0.352325657
Lavoy Allen,PF,lavoy-allen,2011,-1.152110461,0.0,0.052752889000000004,0.36144076399999997
Dwight Hardy,SG,dwight-hardy,2011,-1.1539211459999998,0.0,0.026484904,0.418021225
Matt Howard,PF,matt-howard,2011,-1.1661023209999999,0.00033729,0.033550883,0.38875799
E`Twaun Moore,SG,e-twaun-moore,2011,-1.16774117,0.000916771,0.05513884,0.350619539
Damian Saunders,SF,damian-saunders,2011,-1.17105064,0.000451539,0.051675349,0.339944409
Michael Dunigan,C,michael-dunigan,2011,-1.181532241,0.001335905,0.043850466,0.361397814
Justin Hurtt,SG,justin-hurtt,2011,-1.1889480159999999,0.0,0.015589196999999999,0.41911385799999995
