Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Samardo Samuels,PF,samardo-samuels,2010,-1.097612627,0.001909954,0.067414607,0.35517712799999995
Larry Sanders,PF,larry-sanders,2010,-1.0997028629999999,0.0010096839999999998,0.067939129,0.356189876
Jeremy Evans,SF,jeremy-evans,2010,-1.111428694,0.0,0.050158747000000004,0.39729652600000004
Stanley Robinson,SF,stanley-robinson,2010,-1.1169754490000001,0.000145407,0.061203165,0.385923909
Jerome Randle,PG,jerome-randle,2010,-1.146296784,0.0,0.044072102,0.38418181100000004
Solomon Alabi,C,solomon-alabi,2010,-1.147034834,0.0,0.05791079,0.38311762299999996
Gavin Edwards,PF,gavin-edwards,2010,-1.161979167,0.00020334700000000002,0.023038136,0.410808004
Derrick Caracter,PF,derrick-caracter,2010,-1.1760329040000002,0.001986871,0.044370692999999996,0.34731267600000004
Darington Hobson,SF,2-darington-hobson,2010,-1.186124613,0.004166667,0.036754386,0.381425439
Lazar Hayward,SF,lazar-hayward,2010,-1.199316103,0.001583466,0.040025541,0.380713166
Armon Johnson,PG,armon-johnson,2010,-1.203256753,0.000584224,0.047609862,0.35893359399999997
Ishmael Smith,PG,ishmael-smith,,-1.20520179,0.0,0.04483987,0.37313226899999996
Dwayne Collins,PF,dwayne-collins,2010,-1.222101361,0.000520216,0.04270966599999999,0.35197533200000003
Tyren Johnson,SF,tyren-johnson,2010,-1.223136774,0.0,0.029822658999999998,0.37135936700000005
Gani Lawal,PF,gani-lawal,2010,-1.225735385,0.000571082,0.05009364,0.333573021
Luke Harangody,PF,luke-harangody,2010,-1.228701512,0.004169845,0.035532349,0.35444345899999996
Armon Bassett,PG,armon-bassett,2010,-1.229575293,0.0,0.01654883,0.397326911
A.J. Ogilvy,C,andrew-ogilvy,2010,-1.23042643,0.000931292,0.036769282,0.368253311
Tyler Smith,SF,1-tyler-smith,2010,-1.2344381629999999,0.001000527,0.023536584,0.38950802
Mikhail Torrance,PG,mikhail-torrance,2010,-1.251709202,0.0,0.03040858,0.368601105
Jerome Dyson,SG,jerome-dyson,2010,-1.260684458,0.00019512599999999997,0.039680722,0.338294579
Scottie Reynolds,PG,scottie-reynolds,2010,-1.288075798,0.0,0.031696888,0.347679412
Craig Brackins,PF,craig-brackins,2010,-1.2977407029999999,0.001753732,0.0359086,0.334892753
Matt Bouldin,PG,matt-bouldin,2010,-1.297748043,0.0,0.020901948,0.367270975
Edwin Ubiles,SG,edwin-ubiles,2010,-1.304926344,0.00036600900000000004,0.014352149,0.368484937
DeShawn Sims,SF,deshawn-sims,2010,-1.3172365529999999,0.0,0.010274569,0.361497064
Magnum Rolle,C,magnum-rolle,2010,-1.3207376240000002,0.0,0.02575748,0.333113006
Elijah Millsap,SG,elijah-millsap,2010,-1.32359644,0.0,0.026800399,0.320187302
Ben Uzoh,PG,ben-uzoh,2010,-1.3362349359999999,9.26118e-05,0.023823987,0.33403788100000004
Mac Koshwal,C,mac-koshwal,2010,-1.358261792,0.0003658,0.018632702,0.310939688
Marquis Gilstrap,SF,marquis-gilstrap,2010,-1.413948965,0.0,0.005111111,0.316222222
Artsiom Parakhouski,C,artsiom-parakhouski,2010,-1.4382831669999998,0.000448575,0.023932434,0.259951881
Jerome Jordan,C,jerome-jordan,2010,-1.501729544,0.0,0.019790108,0.245241844
Michael Washington,PF,michael-washington,2010,-1.517421151,0.000808707,0.007380215999999999,0.255219549
Tyreke Evans,PG,tyreke-evans,2009,1.2649065590000002,0.17422222199999998,0.460266667,0.104355556
Blake Griffin,PF,blake-griffin,2009,0.964879632,0.138169197,0.371409383,0.171447569
James Harden,SG,13-james-harden,2009,0.788386355,0.13276965599999999,0.404873415,0.147432335
Jrue Holiday,PG,jrue-holiday,2009,0.66358932,0.10206044,0.453846154,0.14613095199999998
DeJuan Blair,PF,dejuan-blair,2009,0.511650527,0.014389321000000002,0.409798393,0.35829966799999996
Stephen Curry,PG,stephen-curry,2009,0.152117249,0.082506676,0.297707412,0.187768291
Hasheem Thabeet,C,hasheem-thabeet,2009,-0.048061645,0.031390863,0.318884152,0.301575741
Ty Lawson,PG,ty-lawson,2009,-0.070405635,0.004104395,0.329378505,0.319197921
DeMar DeRozan,SG,demar-derozan,2009,-0.286519007,0.042119859,0.225967262,0.366003788
Danny Green,SF,danny-green,2009,-0.345189056,0.0013501820000000001,0.229178367,0.41868194
Darren Collison,PG,darren-collison,2009,-0.381706706,0.00370847,0.285404075,0.287554533
Jordan Hill,PF,jordan-hill,2009,-0.398916517,0.004210538,0.278330378,0.323639538
Austin Daye,SF,austin-daye,2009,-0.470333125,0.005857538000000001,0.21079531199999998,0.388338833
Jonny Flynn,PG,jonny-flynn,2009,-0.5203312489999999,0.021986542,0.246032485,0.20837545
Patrick Beverley,PG,patrick-beverley,2009,-0.553710535,0.003829355,0.21398140899999998,0.329854961
Chase Budinger,SG,chase-budinger,2009,-0.563281795,0.007476186,0.16317421,0.44482512700000004
Wayne Ellington,SG,wayne-ellington,2009,-0.690986623,0.000197937,0.17423618300000002,0.396519244
Sam Young,SF,sam-young,2009,-0.722306848,0.000291576,0.16335861699999998,0.415221734
Jeff Teague,PG,jeff-teague,2009,-0.727211835,0.006131172,0.214101298,0.244245716
B.J. Mullens,C,bj-mullens,2009,-0.72723571,0.004081633,0.160863095,0.380187075
Eric Maynor,PG,eric-maynor,2009,-0.733756748,0.006645888000000001,0.184251275,0.290184827
Earl Clark,SF,earl-clark,2009,-0.7896404029999999,0.001075956,0.13252634300000002,0.405906765
Tyler Hansbrough,PF,tyler-hansbrough,2009,-0.7912413220000001,0.004337323,0.171382862,0.34910380700000004
Terrence Williams,SG,terrence-williams,,-0.817641528,0.003468635,0.13362796400000002,0.37290472
DaJuan Summers,SF,dajuan-summers,2009,-0.92735566,0.0020478420000000002,0.100426066,0.383383834
Lester Hudson,SG,lester-hudson,2009,-0.9331986879999999,0.00098341,0.038579636,0.506165776
Derrick Brown,PF,derrick-brown,2009,-0.935704311,0.0,0.07034427,0.47737194200000005
Antonio Anderson,SG,antonio-anderson,2009,-0.9360329140000001,0.000149634,0.07113699700000001,0.448413281
Gerald Henderson,SG,gerald-henderson,2009,-0.938424467,0.0018739639999999999,0.071148045,0.46802910299999995
Josh Carter,SG,josh-carter,2009,-0.9806133770000001,0.000463572,0.047931862,0.46432693799999997
K.C. Rivers,SG,kc-rivers,2009,-0.9834012659999999,0.0,0.067695135,0.43208707700000004
Josh Shipp,SG,josh-shipp,2009,-0.9871630659999999,0.0,0.051235908,0.48162803200000004
A.J. Price,PG,aj-price,2009,-1.011308838,0.000326679,0.08281111099999999,0.395774522
Patrick Mills,PG,patrick-mills,2009,-1.046642294,0.002622341,0.11131412,0.295145797
Jerel McNeal,SG,jerel-mcneal,2009,-1.0585116509999999,0.0015550829999999999,0.06708296799999999,0.387245929
A.J. Abrams,SG,aj-abrams,2009,-1.059638872,0.000162976,0.041932628,0.42659584100000003
Jon Brockman,PF,jon-brockman,2009,-1.060147498,0.000823025,0.062209875,0.400535309
Nick Calathes,PG,nick-calathes,2009,-1.06596363,0.006084119,0.110707166,0.261318585
Brandon Costner,PF,brandon-costner,2009,-1.069697568,0.0,0.033625062000000004,0.45013207
Robert Dozier,SF,robert-dozier,2009,-1.079879714,0.0,0.07240637,0.384859865
Dar Tucker,SF,dar-tucker,2009,-1.082318005,0.004201529,0.065994879,0.374429178
DeMarre Carroll,PF,demarre-carroll,2009,-1.082646133,0.00045109400000000003,0.095981902,0.31982907899999996
Tyrese Rice,PG,tyrese-rice,2009,-1.106557491,0.001055925,0.053710462,0.384374715
Chinemelu Elonu,PF,chinemelu-elonu,2009,-1.106791447,0.00010626,0.031079284,0.422527135
James Johnson,PF,23-james-johnson,2009,-1.111034254,0.0,0.086329204,0.32709972800000003
Goran Suton,C,goran-suton,2009,-1.125833707,0.000443708,0.066697109,0.366315699
Jodie Meeks,SG,jodie-meeks,,-1.126367342,0.00047073199999999996,0.035030749,0.43404324899999996
Ronald Steele,PG,ronald-steele,2009,-1.130176574,0.0,0.031065423999999998,0.403399965
Toney Douglas,SG,toney-douglas,2009,-1.135763383,0.000376679,0.09324840599999999,0.317836893
Daniel Hackett,PG,daniel-hackett,2009,-1.1414426309999999,0.000334449,0.055402307000000005,0.376279074
Dionte Christmas,SG,dionte-christmas,2009,-1.155008392,0.00022304400000000001,0.021599355,0.440053246
Lee Cummard,SG,lee-cummard,2009,-1.163952731,8.27509e-05,0.040164022,0.388486631
Dante Cunningham,PF,dante-cunningham,2009,-1.1656094190000001,0.000479618,0.037291431,0.40231170299999996
Tony Gaffney,PF,tony-gaffney,2009,-1.167545252,0.000111734,0.032078959,0.388800177
Wesley Matthews,SF,23-wesley-matthews,2009,-1.170636117,0.00073021,0.063149342,0.36182347600000003
Jeremy Pargo,PG,jeremy-pargo,2009,-1.1913827190000001,0.000916568,0.035607013,0.372763354
Taj Gibson,PF,taj-gibson,2009,-1.191729732,0.0,0.06286482,0.351510874
Alade Aminu,PF,alade-aminu,2009,-1.194768524,0.0,0.02983381,0.389339654
Marcus Thornton,SG,marcus-thornton,2009,-1.200840893,0.000949911,0.049597252,0.368527606
Robert Vaden,SG,robert-vaden,2009,-1.219868835,0.0,0.020289887,0.401835765
Ben Woodside,PG,ben-woodside,2009,-1.23381005,0.00023982099999999998,0.010817878999999999,0.400978075
Anthony Goods,SG,anthony-goods,2009,-1.2356407459999998,0.0,0.017385808,0.39850035899999997
Ahmad Nivins,PF,ahmad-nivins,2009,-1.23689697,0.001435249,0.045319125,0.35196905700000003
Curtis Jerrells,PG,curtis-jerrells,2009,-1.24767364,0.00016929,0.026310141000000002,0.371661012
John Bryant,C,john-bryant,2009,-1.251160689,0.000863936,0.020860783,0.360776692
Paul Delaney III,PG,paul-delaney,2009,-1.259403283,0.000542509,0.030685167000000003,0.357608262
Paul Harris,SG,paul-harris,2009,-1.26740764,0.00036883699999999995,0.029703973999999998,0.3582301
Leo Lyons,PF,leo-lyons,2009,-1.272805629,0.001285189,0.031248941000000002,0.332828953
Bryan Mullins,PG,bryan-mullins,2009,-1.278985942,0.0015550179999999998,0.036378002,0.327711467
Courtney Fells,SG,courtney-fells,2009,-1.283806904,0.0,0.015639361,0.38248006
Jermaine Taylor,SG,jermaine-taylor,2009,-1.289605058,0.000273791,0.020647379,0.37665605799999996
Jeff Adrien,PF,jeff-adrien,2009,-1.289708761,0.0,0.027940573,0.35056580200000004
